🚀 正在初始化系统...
🔍 正在加载 Contriever 检索器...
📚 正在加载文档库...
📂 正在加载文件: /home/featurize/work/embeddings_1m/passages_00
📚 文档库加载完成，共 1000000 篇文档。
✅ 系统初始化完成
📂 正在加载数据集: professional_law 从 /home/featurize/work/mmlu_subset/professional_law.csv
✅ professional_law 加载完成，共 400 道题目
📂 正在加载数据集: moral_scenarios 从 /home/featurize/work/mmlu_subset/moral_scenarios.csv
✅ moral_scenarios 加载完成，共 400 道题目
📂 正在加载数据集: psychology 从 /home/featurize/work/mmlu_subset/psychology.csv
✅ psychology 加载完成，共 400 道题目
📂 正在加载数据集: mathematics 从 /home/featurize/work/mmlu_subset/mathematics.csv
✅ mathematics 加载完成，共 400 道题目

==================== 正在评测数据集: professional_law ====================
✅ 选取了 400 道题目 (数据集共 400 道)
题号: professional_law_0, 正确: True, 检索: 3.6497s, Rerank: 0.1972s, 生成: 2.6721s, 首字: 6.5895s, Rerank占比(总): 2.99%, Rerank占比(检): 5.13%
题号: professional_law_277, 正确: False, 检索: 3.5131s, Rerank: 0.0844s, 生成: 2.4265s, 首字: 6.0945s, Rerank占比(总): 1.38%, Rerank占比(检): 2.35%
题号: professional_law_278, 正确: False, 检索: 3.5034s, Rerank: 0.0839s, 生成: 2.4312s, 首字: 6.0883s, Rerank占比(总): 1.38%, Rerank占比(检): 2.34%
题号: professional_law_279, 正确: False, 检索: 3.4998s, Rerank: 0.0845s, 生成: 2.4407s, 首字: 6.0962s, Rerank占比(总): 1.39%, Rerank占比(检): 2.36%
题号: professional_law_280, 正确: False, 检索: 3.4913s, Rerank: 0.0842s, 生成: 2.4288s, 首字: 6.0740s, Rerank占比(总): 1.39%, Rerank占比(检): 2.35%
题号: professional_law_281, 正确: False, 检索: 3.5047s, Rerank: 0.0845s, 生成: 2.4374s, 首字: 6.1002s, Rerank占比(总): 1.39%, Rerank占比(检): 2.36%
题号: professional_law_282, 正确: False, 检索: 3.4855s, Rerank: 0.0843s, 生成: 2.4315s, 首字: 6.0714s, Rerank占比(总): 1.39%, Rerank占比(检): 2.36%
题号: professional_law_283, 正确: False, 检索: 3.5010s, Rerank: 0.0845s, 生成: 2.4386s, 首字: 6.0939s, Rerank占比(总): 1.39%, Rerank占比(检): 2.36%
题号: professional_law_284, 正确: True, 检索: 3.4910s, Rerank: 0.0838s, 生成: 2.4245s, 首字: 6.0694s, Rerank占比(总): 1.38%, Rerank占比(检): 2.34%
题号: professional_law_285, 正确: False, 检索: 3.4889s, Rerank: 0.0837s, 生成: 2.4324s, 首字: 6.0749s, Rerank占比(总): 1.38%, Rerank占比(检): 2.34%
题号: professional_law_286, 正确: False, 检索: 3.4858s, Rerank: 0.0843s, 生成: 2.4356s, 首字: 6.0754s, Rerank占比(总): 1.39%, Rerank占比(检): 2.36%
题号: professional_law_287, 正确: False, 检索: 3.5112s, Rerank: 0.0845s, 生成: 2.4385s, 首字: 6.1039s, Rerank占比(总): 1.38%, Rerank占比(检): 2.35%
题号: professional_law_288, 正确: False, 检索: 3.5231s, Rerank: 0.0850s, 生成: 2.4345s, 首字: 6.1126s, Rerank占比(总): 1.39%, Rerank占比(检): 2.36%
题号: professional_law_289, 正确: True, 检索: 3.5127s, Rerank: 0.0843s, 生成: 2.4502s, 首字: 6.1182s, Rerank占比(总): 1.38%, Rerank占比(检): 2.34%
题号: professional_law_290, 正确: False, 检索: 3.5395s, Rerank: 0.0852s, 生成: 2.5080s, 首字: 6.2034s, Rerank占比(总): 1.37%, Rerank占比(检): 2.35%
题号: professional_law_291, 正确: True, 检索: 3.5425s, Rerank: 0.0859s, 生成: 2.4426s, 首字: 6.1408s, Rerank占比(总): 1.40%, Rerank占比(检): 2.37%
题号: professional_law_292, 正确: True, 检索: 3.5157s, Rerank: 0.0857s, 生成: 2.4963s, 首字: 6.1741s, Rerank占比(总): 1.39%, Rerank占比(检): 2.38%
题号: professional_law_293, 正确: True, 检索: 3.5506s, Rerank: 0.0887s, 生成: 2.5337s, 首字: 6.2438s, Rerank占比(总): 1.42%, Rerank占比(检): 2.44%
题号: professional_law_294, 正确: True, 检索: 3.4929s, Rerank: 0.0831s, 生成: 2.4382s, 首字: 6.0837s, Rerank占比(总): 1.37%, Rerank占比(检): 2.32%
题号: professional_law_295, 正确: False, 检索: 3.4922s, Rerank: 0.0834s, 生成: 2.4385s, 首字: 6.0838s, Rerank占比(总): 1.37%, Rerank占比(检): 2.33%
题号: professional_law_296, 正确: False, 检索: 3.4965s, Rerank: 0.0833s, 生成: 2.4393s, 首字: 6.0885s, Rerank占比(总): 1.37%, Rerank占比(检): 2.33%
题号: professional_law_297, 正确: True, 检索: 3.5234s, Rerank: 0.0846s, 生成: 2.4752s, 首字: 6.1528s, Rerank占比(总): 1.38%, Rerank占比(检): 2.35%
题号: professional_law_298, 正确: False, 检索: 3.5150s, Rerank: 0.0844s, 生成: 2.4310s, 首字: 6.1002s, Rerank占比(总): 1.38%, Rerank占比(检): 2.35%
题号: professional_law_299, 正确: False, 检索: 3.4975s, Rerank: 0.0833s, 生成: 2.4348s, 首字: 6.0862s, Rerank占比(总): 1.37%, Rerank占比(检): 2.33%
题号: professional_law_300, 正确: False, 检索: 3.5303s, Rerank: 0.0839s, 生成: 2.4484s, 首字: 6.1316s, Rerank占比(总): 1.37%, Rerank占比(检): 2.32%
题号: professional_law_301, 正确: False, 检索: 3.5184s, Rerank: 0.0853s, 生成: 2.4624s, 首字: 6.1351s, Rerank占比(总): 1.39%, Rerank占比(检): 2.37%
题号: professional_law_302, 正确: False, 检索: 3.5406s, Rerank: 0.0848s, 生成: 2.4605s, 首字: 6.1564s, Rerank占比(总): 1.38%, Rerank占比(检): 2.34%
题号: professional_law_303, 正确: False, 检索: 3.5325s, Rerank: 0.0865s, 生成: 2.4516s, 首字: 6.1401s, Rerank占比(总): 1.41%, Rerank占比(检): 2.39%
题号: professional_law_304, 正确: False, 检索: 3.5263s, Rerank: 0.0859s, 生成: 2.4539s, 首字: 6.1354s, Rerank占比(总): 1.40%, Rerank占比(检): 2.38%
题号: professional_law_305, 正确: True, 检索: 3.5319s, Rerank: 0.0856s, 生成: 2.4607s, 首字: 6.1487s, Rerank占比(总): 1.39%, Rerank占比(检): 2.37%
题号: professional_law_306, 正确: False, 检索: 3.5323s, Rerank: 0.0857s, 生成: 2.4678s, 首字: 6.1558s, Rerank占比(总): 1.39%, Rerank占比(检): 2.37%
题号: professional_law_307, 正确: False, 检索: 3.5389s, Rerank: 0.0872s, 生成: 2.4489s, 首字: 6.1450s, Rerank占比(总): 1.42%, Rerank占比(检): 2.40%
题号: professional_law_308, 正确: False, 检索: 3.4994s, Rerank: 0.0854s, 生成: 2.4496s, 首字: 6.1056s, Rerank占比(总): 1.40%, Rerank占比(检): 2.38%
题号: professional_law_309, 正确: False, 检索: 3.4974s, Rerank: 0.0838s, 生成: 2.4443s, 首字: 6.0954s, Rerank占比(总): 1.37%, Rerank占比(检): 2.34%
题号: professional_law_310, 正确: True, 检索: 3.5677s, Rerank: 0.0847s, 生成: 2.4335s, 首字: 6.1557s, Rerank占比(总): 1.38%, Rerank占比(检): 2.32%
题号: professional_law_311, 正确: True, 检索: 3.6452s, Rerank: 0.0851s, 生成: 2.4347s, 首字: 6.2371s, Rerank占比(总): 1.36%, Rerank占比(检): 2.28%
题号: professional_law_312, 正确: False, 检索: 3.6454s, Rerank: 0.0854s, 生成: 2.4524s, 首字: 6.2541s, Rerank占比(总): 1.37%, Rerank占比(检): 2.29%
题号: professional_law_313, 正确: False, 检索: 3.6303s, Rerank: 0.0853s, 生成: 2.4491s, 首字: 6.2362s, Rerank占比(总): 1.37%, Rerank占比(检): 2.30%
题号: professional_law_314, 正确: False, 检索: 3.6353s, Rerank: 0.0849s, 生成: 2.4346s, 首字: 6.2252s, Rerank占比(总): 1.36%, Rerank占比(检): 2.28%
题号: professional_law_315, 正确: True, 检索: 3.6158s, Rerank: 0.0842s, 生成: 2.4286s, 首字: 6.1974s, Rerank占比(总): 1.36%, Rerank占比(检): 2.28%
题号: professional_law_316, 正确: True, 检索: 3.6417s, Rerank: 0.0862s, 生成: 2.4486s, 首字: 6.2456s, Rerank占比(总): 1.38%, Rerank占比(检): 2.31%
题号: professional_law_317, 正确: True, 检索: 3.6545s, Rerank: 0.0851s, 生成: 2.4562s, 首字: 6.2672s, Rerank占比(总): 1.36%, Rerank占比(检): 2.28%
题号: professional_law_318, 正确: False, 检索: 3.6246s, Rerank: 0.0849s, 生成: 2.4421s, 首字: 6.2211s, Rerank占比(总): 1.36%, Rerank占比(检): 2.29%
题号: professional_law_319, 正确: False, 检索: 3.6213s, Rerank: 0.0865s, 生成: 2.4540s, 首字: 6.2325s, Rerank占比(总): 1.39%, Rerank占比(检): 2.33%
题号: professional_law_320, 正确: False, 检索: 3.6047s, Rerank: 0.0841s, 生成: 2.4218s, 首字: 6.1806s, Rerank占比(总): 1.36%, Rerank占比(检): 2.28%
题号: professional_law_321, 正确: True, 检索: 3.6009s, Rerank: 0.0867s, 生成: 2.5360s, 首字: 6.3066s, Rerank占比(总): 1.38%, Rerank占比(检): 2.35%
题号: professional_law_322, 正确: False, 检索: 3.7490s, Rerank: 0.0861s, 生成: 2.4997s, 首字: 6.4112s, Rerank占比(总): 1.34%, Rerank占比(检): 2.25%
题号: professional_law_323, 正确: False, 检索: 3.6077s, Rerank: 0.0844s, 生成: 2.4368s, 首字: 6.2026s, Rerank占比(总): 1.36%, Rerank占比(检): 2.29%
题号: professional_law_324, 正确: True, 检索: 3.6101s, Rerank: 0.0858s, 生成: 2.5708s, 首字: 6.3390s, Rerank占比(总): 1.35%, Rerank占比(检): 2.32%
题号: professional_law_325, 正确: False, 检索: 3.7417s, Rerank: 0.0885s, 生成: 2.5556s, 首字: 6.4567s, Rerank占比(总): 1.37%, Rerank占比(检): 2.31%
题号: professional_law_326, 正确: False, 检索: 3.6935s, Rerank: 0.0855s, 生成: 2.4752s, 首字: 6.3256s, Rerank占比(总): 1.35%, Rerank占比(检): 2.26%
题号: professional_law_327, 正确: False, 检索: 3.7010s, Rerank: 0.0851s, 生成: 2.4736s, 首字: 6.3296s, Rerank占比(总): 1.34%, Rerank占比(检): 2.25%
题号: professional_law_328, 正确: False, 检索: 3.6780s, Rerank: 0.0896s, 生成: 2.5998s, 首字: 6.4389s, Rerank占比(总): 1.39%, Rerank占比(检): 2.38%
题号: professional_law_329, 正确: False, 检索: 3.6064s, Rerank: 0.0837s, 生成: 2.4304s, 首字: 6.1903s, Rerank占比(总): 1.35%, Rerank占比(检): 2.27%
题号: professional_law_330, 正确: False, 检索: 3.5751s, Rerank: 0.0845s, 生成: 2.4441s, 首字: 6.1734s, Rerank占比(总): 1.37%, Rerank占比(检): 2.31%
题号: professional_law_331, 正确: False, 检索: 3.6067s, Rerank: 0.0837s, 生成: 2.4542s, 首字: 6.2160s, Rerank占比(总): 1.35%, Rerank占比(检): 2.27%
题号: professional_law_332, 正确: False, 检索: 3.6481s, Rerank: 0.0856s, 生成: 2.4884s, 首字: 6.2925s, Rerank占比(总): 1.36%, Rerank占比(检): 2.29%
题号: professional_law_333, 正确: True, 检索: 3.6873s, Rerank: 0.0861s, 生成: 2.4521s, 首字: 6.2952s, Rerank占比(总): 1.37%, Rerank占比(检): 2.28%
题号: professional_law_334, 正确: True, 检索: 3.6207s, Rerank: 0.0852s, 生成: 2.4326s, 首字: 6.2099s, Rerank占比(总): 1.37%, Rerank占比(检): 2.30%
题号: professional_law_335, 正确: False, 检索: 3.6181s, Rerank: 0.0859s, 生成: 2.4679s, 首字: 6.2436s, Rerank占比(总): 1.38%, Rerank占比(检): 2.32%
题号: professional_law_336, 正确: False, 检索: 3.6001s, Rerank: 0.0838s, 生成: 2.4252s, 首字: 6.1804s, Rerank占比(总): 1.36%, Rerank占比(检): 2.27%
题号: professional_law_337, 正确: False, 检索: 3.6119s, Rerank: 0.0844s, 生成: 2.4295s, 首字: 6.1962s, Rerank占比(总): 1.36%, Rerank占比(检): 2.28%
题号: professional_law_338, 正确: True, 检索: 4.3608s, Rerank: 0.0885s, 生成: 2.5453s, 首字: 7.0677s, Rerank占比(总): 1.25%, Rerank占比(检): 1.99%
题号: professional_law_339, 正确: True, 检索: 4.7748s, Rerank: 0.0891s, 生成: 2.5469s, 首字: 7.4840s, Rerank占比(总): 1.19%, Rerank占比(检): 1.83%
题号: professional_law_340, 正确: True, 检索: 4.7443s, Rerank: 0.0887s, 生成: 2.5426s, 首字: 7.4511s, Rerank占比(总): 1.19%, Rerank占比(检): 1.83%
题号: professional_law_341, 正确: False, 检索: 4.7434s, Rerank: 0.0883s, 生成: 2.5488s, 首字: 7.4566s, Rerank占比(总): 1.18%, Rerank占比(检): 1.83%
题号: professional_law_342, 正确: False, 检索: 4.7704s, Rerank: 0.0889s, 生成: 2.5847s, 首字: 7.5183s, Rerank占比(总): 1.18%, Rerank占比(检): 1.83%
题号: professional_law_343, 正确: True, 检索: 4.7913s, Rerank: 0.0882s, 生成: 2.5551s, 首字: 7.5058s, Rerank占比(总): 1.17%, Rerank占比(检): 1.81%
题号: professional_law_344, 正确: True, 检索: 4.7773s, Rerank: 0.0882s, 生成: 2.5571s, 首字: 7.4991s, Rerank占比(总): 1.18%, Rerank占比(检): 1.81%
题号: professional_law_345, 正确: False, 检索: 4.7627s, Rerank: 0.0881s, 生成: 2.5351s, 首字: 7.4599s, Rerank占比(总): 1.18%, Rerank占比(检): 1.82%
题号: professional_law_346, 正确: False, 检索: 4.5673s, Rerank: 0.0877s, 生成: 2.5181s, 首字: 7.2462s, Rerank占比(总): 1.21%, Rerank占比(检): 1.88%
题号: professional_law_347, 正确: False, 检索: 4.7454s, Rerank: 0.0865s, 生成: 2.5245s, 首字: 7.4293s, Rerank占比(总): 1.16%, Rerank占比(检): 1.79%
题号: professional_law_348, 正确: False, 检索: 4.7472s, Rerank: 0.0921s, 生成: 2.5182s, 首字: 7.4297s, Rerank占比(总): 1.24%, Rerank占比(检): 1.90%
题号: professional_law_349, 正确: False, 检索: 3.6600s, Rerank: 0.0849s, 生成: 2.4408s, 首字: 6.2583s, Rerank占比(总): 1.36%, Rerank占比(检): 2.27%
题号: professional_law_350, 正确: False, 检索: 3.5946s, Rerank: 0.0849s, 生成: 2.4438s, 首字: 6.1938s, Rerank占比(总): 1.37%, Rerank占比(检): 2.31%
题号: professional_law_351, 正确: False, 检索: 3.5942s, Rerank: 0.0850s, 生成: 2.4403s, 首字: 6.1896s, Rerank占比(总): 1.37%, Rerank占比(检): 2.31%
题号: professional_law_352, 正确: False, 检索: 3.6087s, Rerank: 0.0845s, 生成: 2.4399s, 首字: 6.2039s, Rerank占比(总): 1.36%, Rerank占比(检): 2.29%
题号: professional_law_353, 正确: False, 检索: 3.6273s, Rerank: 0.0844s, 生成: 2.4331s, 首字: 6.2155s, Rerank占比(总): 1.36%, Rerank占比(检): 2.27%
题号: professional_law_354, 正确: True, 检索: 3.6464s, Rerank: 0.0841s, 生成: 2.4436s, 首字: 6.2445s, Rerank占比(总): 1.35%, Rerank占比(检): 2.25%
题号: professional_law_355, 正确: False, 检索: 3.7014s, Rerank: 0.0886s, 生成: 2.5021s, 首字: 6.3626s, Rerank占比(总): 1.39%, Rerank占比(检): 2.34%
题号: professional_law_356, 正确: False, 检索: 3.6891s, Rerank: 0.0887s, 生成: 2.5283s, 首字: 6.3776s, Rerank占比(总): 1.39%, Rerank占比(检): 2.35%
题号: professional_law_357, 正确: False, 检索: 3.6903s, Rerank: 0.0851s, 生成: 2.4751s, 首字: 6.3210s, Rerank占比(总): 1.35%, Rerank占比(检): 2.25%
题号: professional_law_358, 正确: False, 检索: 3.6851s, Rerank: 0.0863s, 生成: 2.4809s, 首字: 6.3228s, Rerank占比(总): 1.37%, Rerank占比(检): 2.29%
题号: professional_law_359, 正确: False, 检索: 3.6349s, Rerank: 0.0865s, 生成: 2.5011s, 首字: 6.2927s, Rerank占比(总): 1.37%, Rerank占比(检): 2.32%
题号: professional_law_360, 正确: False, 检索: 3.7057s, Rerank: 0.0871s, 生成: 2.5013s, 首字: 6.3632s, Rerank占比(总): 1.37%, Rerank占比(检): 2.30%
题号: professional_law_361, 正确: False, 检索: 3.6532s, Rerank: 0.0852s, 生成: 2.4341s, 首字: 6.2427s, Rerank占比(总): 1.37%, Rerank占比(检): 2.28%
题号: professional_law_362, 正确: False, 检索: 3.6394s, Rerank: 0.0841s, 生成: 2.4375s, 首字: 6.2316s, Rerank占比(总): 1.35%, Rerank占比(检): 2.26%
题号: professional_law_363, 正确: False, 检索: 3.7283s, Rerank: 0.0896s, 生成: 2.5126s, 首字: 6.4033s, Rerank占比(总): 1.40%, Rerank占比(检): 2.35%
题号: professional_law_364, 正确: False, 检索: 3.7020s, Rerank: 0.0868s, 生成: 2.4914s, 首字: 6.3510s, Rerank占比(总): 1.37%, Rerank占比(检): 2.29%
题号: professional_law_365, 正确: False, 检索: 3.7219s, Rerank: 0.0848s, 生成: 2.5237s, 首字: 6.4008s, Rerank占比(总): 1.32%, Rerank占比(检): 2.23%
题号: professional_law_366, 正确: False, 检索: 3.6765s, Rerank: 0.0883s, 生成: 2.5586s, 首字: 6.3937s, Rerank占比(总): 1.38%, Rerank占比(检): 2.35%
题号: professional_law_367, 正确: True, 检索: 3.7143s, Rerank: 0.0905s, 生成: 2.5420s, 首字: 6.4187s, Rerank占比(总): 1.41%, Rerank占比(检): 2.38%
题号: professional_law_368, 正确: True, 检索: 3.7455s, Rerank: 0.0907s, 生成: 2.5523s, 首字: 6.4608s, Rerank占比(总): 1.40%, Rerank占比(检): 2.36%
题号: professional_law_369, 正确: False, 检索: 3.6711s, Rerank: 0.0844s, 生成: 2.4471s, 首字: 6.2722s, Rerank占比(总): 1.35%, Rerank占比(检): 2.25%
题号: professional_law_370, 正确: False, 检索: 3.6521s, Rerank: 0.0846s, 生成: 2.5598s, 首字: 6.3660s, Rerank占比(总): 1.33%, Rerank占比(检): 2.26%
题号: professional_law_371, 正确: False, 检索: 3.6079s, Rerank: 0.0880s, 生成: 2.4856s, 首字: 6.2520s, Rerank占比(总): 1.41%, Rerank占比(检): 2.38%
题号: professional_law_372, 正确: True, 检索: 3.6377s, Rerank: 0.0888s, 生成: 2.4943s, 首字: 6.2927s, Rerank占比(总): 1.41%, Rerank占比(检): 2.38%
题号: professional_law_373, 正确: False, 检索: 3.6293s, Rerank: 0.0899s, 生成: 2.5666s, 首字: 6.3574s, Rerank占比(总): 1.41%, Rerank占比(检): 2.42%
题号: professional_law_374, 正确: False, 检索: 3.6708s, Rerank: 0.0867s, 生成: 2.5591s, 首字: 6.3882s, Rerank占比(总): 1.36%, Rerank占比(检): 2.31%
题号: professional_law_375, 正确: False, 检索: 3.7115s, Rerank: 0.0856s, 生成: 2.4518s, 首字: 6.3176s, Rerank占比(总): 1.35%, Rerank占比(检): 2.25%
题号: professional_law_376, 正确: True, 检索: 3.7699s, Rerank: 0.0872s, 生成: 2.5183s, 首字: 6.4467s, Rerank占比(总): 1.35%, Rerank占比(检): 2.26%
题号: professional_law_377, 正确: False, 检索: 3.7828s, Rerank: 0.0879s, 生成: 2.5019s, 首字: 6.4455s, Rerank占比(总): 1.36%, Rerank占比(检): 2.27%
题号: professional_law_378, 正确: True, 检索: 3.7326s, Rerank: 0.0866s, 生成: 2.5288s, 首字: 6.4187s, Rerank占比(总): 1.35%, Rerank占比(检): 2.27%
题号: professional_law_379, 正确: False, 检索: 3.6602s, Rerank: 0.0853s, 生成: 2.4714s, 首字: 6.2863s, Rerank占比(总): 1.36%, Rerank占比(检): 2.28%
题号: professional_law_380, 正确: False, 检索: 3.6522s, Rerank: 0.0837s, 生成: 2.4266s, 首字: 6.2318s, Rerank占比(总): 1.34%, Rerank占比(检): 2.24%
题号: professional_law_381, 正确: False, 检索: 3.6314s, Rerank: 0.0836s, 生成: 2.4285s, 首字: 6.2140s, Rerank占比(总): 1.34%, Rerank占比(检): 2.25%
题号: professional_law_382, 正确: False, 检索: 3.6381s, Rerank: 0.0845s, 生成: 2.4282s, 首字: 6.2213s, Rerank占比(总): 1.36%, Rerank占比(检): 2.27%
题号: professional_law_383, 正确: True, 检索: 3.6265s, Rerank: 0.0846s, 生成: 2.4250s, 首字: 6.2065s, Rerank占比(总): 1.36%, Rerank占比(检): 2.28%
题号: professional_law_384, 正确: False, 检索: 3.6000s, Rerank: 0.0841s, 生成: 2.4231s, 首字: 6.1765s, Rerank占比(总): 1.36%, Rerank占比(检): 2.28%
题号: professional_law_385, 正确: False, 检索: 3.6211s, Rerank: 0.0840s, 生成: 2.4632s, 首字: 6.2399s, Rerank占比(总): 1.35%, Rerank占比(检): 2.27%
题号: professional_law_386, 正确: False, 检索: 3.6348s, Rerank: 0.0844s, 生成: 2.4246s, 首字: 6.2138s, Rerank占比(总): 1.36%, Rerank占比(检): 2.27%
题号: professional_law_387, 正确: False, 检索: 3.6370s, Rerank: 0.0845s, 生成: 2.4260s, 首字: 6.2180s, Rerank占比(总): 1.36%, Rerank占比(检): 2.27%
题号: professional_law_388, 正确: False, 检索: 3.6326s, Rerank: 0.0908s, 生成: 2.5639s, 首字: 6.3573s, Rerank占比(总): 1.43%, Rerank占比(检): 2.44%
题号: professional_law_389, 正确: False, 检索: 3.6796s, Rerank: 0.0840s, 生成: 2.4466s, 首字: 6.2803s, Rerank占比(总): 1.34%, Rerank占比(检): 2.23%
题号: professional_law_390, 正确: False, 检索: 3.6376s, Rerank: 0.0841s, 生成: 2.4324s, 首字: 6.2254s, Rerank占比(总): 1.35%, Rerank占比(检): 2.26%
题号: professional_law_391, 正确: False, 检索: 3.6074s, Rerank: 0.0836s, 生成: 2.4350s, 首字: 6.1952s, Rerank占比(总): 1.35%, Rerank占比(检): 2.27%
题号: professional_law_392, 正确: False, 检索: 3.6120s, Rerank: 0.0837s, 生成: 2.4312s, 首字: 6.1975s, Rerank占比(总): 1.35%, Rerank占比(检): 2.26%
题号: professional_law_393, 正确: False, 检索: 3.5939s, Rerank: 0.0839s, 生成: 2.4385s, 首字: 6.1875s, Rerank占比(总): 1.36%, Rerank占比(检): 2.28%
题号: professional_law_394, 正确: False, 检索: 3.6091s, Rerank: 0.0835s, 生成: 2.4275s, 首字: 6.1911s, Rerank占比(总): 1.35%, Rerank占比(检): 2.26%
题号: professional_law_395, 正确: False, 检索: 3.6334s, Rerank: 0.0840s, 生成: 2.4304s, 首字: 6.2181s, Rerank占比(总): 1.35%, Rerank占比(检): 2.26%
题号: professional_law_396, 正确: True, 检索: 4.6041s, Rerank: 0.0868s, 生成: 2.5060s, 首字: 7.2699s, Rerank占比(总): 1.19%, Rerank占比(检): 1.85%
题号: professional_law_397, 正确: True, 检索: 4.7136s, Rerank: 0.0868s, 生成: 2.5127s, 首字: 7.3858s, Rerank占比(总): 1.17%, Rerank占比(检): 1.81%
题号: professional_law_398, 正确: False, 检索: 4.7471s, Rerank: 0.0878s, 生成: 2.5220s, 首字: 7.4288s, Rerank占比(总): 1.18%, Rerank占比(检): 1.82%
题号: professional_law_399, 正确: True, 检索: 4.7136s, Rerank: 0.0985s, 生成: 2.5178s, 首字: 7.4115s, Rerank占比(总): 1.33%, Rerank占比(检): 2.05%

📊 数据集 professional_law 评测完成，统计结果如下：
 🟢 总正确率: 0.2550 (102/400)
 ⏱️ 平均每题 Rerank 耗时: 0.0859 秒
 ⏱️ 平均每题 首字延迟: 6.4523 秒
 📊 平均 Rerank耗时/总耗时比值: 0.0134
 📊 平均 Rerank耗时/检索耗时比值: 0.0222
 📉 重排耗时方差 (Variance): 0.000035 (s²)
 📏 重排耗时标准差 (Std): 0.005890 (s)

==================== 正在评测数据集: moral_scenarios ====================
✅ 选取了 400 道题目 (数据集共 400 道)
题号: moral_scenarios_0, 正确: False, 检索: 4.6825s, Rerank: 0.0875s, 生成: 2.5128s, 首字: 7.3542s, Rerank占比(总): 1.19%, Rerank占比(检): 1.83%
题号: moral_scenarios_1, 正确: False, 检索: 4.6966s, Rerank: 0.0861s, 生成: 2.5143s, 首字: 7.3686s, Rerank占比(总): 1.17%, Rerank占比(检): 1.80%
题号: moral_scenarios_2, 正确: False, 检索: 4.6953s, Rerank: 0.0870s, 生成: 2.5142s, 首字: 7.3702s, Rerank占比(总): 1.18%, Rerank占比(检): 1.82%
题号: moral_scenarios_3, 正确: False, 检索: 4.7329s, Rerank: 0.0869s, 生成: 2.5167s, 首字: 7.4074s, Rerank占比(总): 1.17%, Rerank占比(检): 1.80%
题号: moral_scenarios_4, 正确: False, 检索: 4.7319s, Rerank: 0.0874s, 生成: 2.5099s, 首字: 7.4006s, Rerank占比(总): 1.18%, Rerank占比(检): 1.81%
题号: moral_scenarios_5, 正确: False, 检索: 4.7219s, Rerank: 0.0868s, 生成: 2.5213s, 首字: 7.4023s, Rerank占比(总): 1.17%, Rerank占比(检): 1.80%
题号: moral_scenarios_6, 正确: False, 检索: 4.7102s, Rerank: 0.0871s, 生成: 2.5315s, 首字: 7.4003s, Rerank占比(总): 1.18%, Rerank占比(检): 1.82%
题号: moral_scenarios_7, 正确: False, 检索: 4.6896s, Rerank: 0.0879s, 生成: 2.5174s, 首字: 7.3655s, Rerank占比(总): 1.19%, Rerank占比(检): 1.84%
题号: moral_scenarios_8, 正确: False, 检索: 4.6555s, Rerank: 0.0863s, 生成: 2.5150s, 首字: 7.3293s, Rerank占比(总): 1.18%, Rerank占比(检): 1.82%
题号: moral_scenarios_9, 正确: False, 检索: 4.7164s, Rerank: 0.0870s, 生成: 2.5179s, 首字: 7.3917s, Rerank占比(总): 1.18%, Rerank占比(检): 1.81%
题号: moral_scenarios_10, 正确: False, 检索: 4.6570s, Rerank: 0.0842s, 生成: 2.4599s, 首字: 7.2712s, Rerank占比(总): 1.16%, Rerank占比(检): 1.78%
题号: moral_scenarios_11, 正确: True, 检索: 3.6132s, Rerank: 0.0837s, 生成: 2.4301s, 首字: 6.1967s, Rerank占比(总): 1.35%, Rerank占比(检): 2.26%
题号: moral_scenarios_12, 正确: False, 检索: 3.5857s, Rerank: 0.0835s, 生成: 2.4331s, 首字: 6.1723s, Rerank占比(总): 1.35%, Rerank占比(检): 2.27%
题号: moral_scenarios_13, 正确: True, 检索: 3.5900s, Rerank: 0.0838s, 生成: 2.4357s, 首字: 6.1790s, Rerank占比(总): 1.36%, Rerank占比(检): 2.28%
题号: moral_scenarios_14, 正确: False, 检索: 3.6308s, Rerank: 0.0838s, 生成: 2.4328s, 首字: 6.2165s, Rerank占比(总): 1.35%, Rerank占比(检): 2.26%
题号: moral_scenarios_15, 正确: False, 检索: 3.6442s, Rerank: 0.0839s, 生成: 2.4361s, 首字: 6.2332s, Rerank占比(总): 1.35%, Rerank占比(检): 2.25%
题号: moral_scenarios_16, 正确: False, 检索: 3.6389s, Rerank: 0.0837s, 生成: 2.4310s, 首字: 6.2231s, Rerank占比(总): 1.34%, Rerank占比(检): 2.25%
题号: moral_scenarios_17, 正确: False, 检索: 3.7067s, Rerank: 0.0857s, 生成: 2.4509s, 首字: 6.3130s, Rerank占比(总): 1.36%, Rerank占比(检): 2.26%
题号: moral_scenarios_18, 正确: False, 检索: 3.6243s, Rerank: 0.0835s, 生成: 2.4299s, 首字: 6.2068s, Rerank占比(总): 1.35%, Rerank占比(检): 2.25%
题号: moral_scenarios_19, 正确: True, 检索: 3.6153s, Rerank: 0.0836s, 生成: 2.4283s, 首字: 6.1971s, Rerank占比(总): 1.35%, Rerank占比(检): 2.26%
题号: moral_scenarios_20, 正确: False, 检索: 3.6123s, Rerank: 0.0835s, 生成: 2.4281s, 首字: 6.1927s, Rerank占比(总): 1.35%, Rerank占比(检): 2.26%
